i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
44,5,1.7000000000000004,True,1292.2188568613144,8,0.1,0.3,True,0.30790769759675163,0.05343044553419566,3,[0.082 0.041 0.095 0.063 0.043],
45,5,0.4,False,10362.777190244084,8,0.1,0.3,False,3.0892273184028456,0.6474645021522771, 3,[0.487 0.318 0.831 0.961 0.434],
45,5,1.4000000000000001,True,949.8214219621655,8,0.1,0.3,True,0.445576169884797,0.118172938368907,3,[0.042 0.045 0.075 0.096 0.042],
46,5,0.5,False,6379.300339898462,8,0.1,0.3,False,2.82217495716759,1.027734764154661, 3,[0.338 0.559 0.524 0.065 0.653],
46,5,3.600000000000002,False,2008.7848396031616,8,0.1,0.3,True,0.3830245368939359,0.11341797566746682,3,[0.097 0.021 0.028 0.106 0.032],
47,5,0.30000000000000004,False,14982.883105451412,8,0.1,0.3,False,3.0040831922378857,0.8499765966489794, 3,[0.524 1.062 0.511 0.954 0.973],
47,5,1.3,True,924.5760881806348,8,0.1,0.3,True,0.3423730118280778,0.07365322040977443,3,[0.026 0.074 0.059 0.053 0.084],
48,5,0,False,4675.058361052912,8,0.1,0.3,False,4.266172292002011,0.0, 3,[0.607 0.291 0.955 0.655 0.276],
48,5,1.7000000000000004,True,958.7540774137364,8,0.1,0.3,True,0.40515386708258816,0.11041329046027337,3,[0.029 0.041 0.089 0.019 0.064],
49,5,1.4000000000000001,True,955.2379490598016,8,0.1,0.3,False,2.1172878620065085,0.3307180561140735, 3,[0.098 0.074 0.065 0.078 0.042],
49,5,1.5000000000000002,True,977.5112848394689,8,0.1,0.3,True,0.37920433661279573,0.07738463873961768,3,[0.088 0.066 0.056 0.067 0.039],
0,7,1.5000000000000002,True,1612.9762119622483,8,0.1,0.3,False,7.49416589178921,1.5101913306514614, 3,[0.095 0.037 0.052 0.084 0.027 0.06  0.087],
0,7,1.5000000000000002,True,1694.8042634157064,8,0.1,0.3,True,0.3967596257510151,0.12664246293220377,3,[0.094 0.044 0.05  0.056 0.026 0.047 0.079],
1,7,3.600000000000002,False,3032.021841001622,8,0.1,0.3,False,7.053234564059595,1.422426895947062, 3,[0.155 0.182 0.15  0.072 0.099 0.133 0.1  ],
1,7,3.600000000000002,False,3092.8254695017786,8,0.1,0.3,True,0.5258340184130552,0.17454211974067374,3,[0.125 0.185 0.141 0.058 0.057 0.113 0.067],
2,7,0,False,inf,8,0.1,0.3,False,12.864288137992844,0.0, 3,[0.735 1.718 1.623 0.991 1.052 1.101 0.819],
2,7,3.600000000000002,False,3108.8850747117094,8,0.1,0.3,True,0.37129041765140186,0.127116829871612,3,[0.152 0.04  0.159 0.02  0.039 0.1   0.034],
3,7,3.600000000000002,False,3050.5616834603434,8,0.1,0.3,False,6.007918392105946,1.394063610615479, 3,[0.15  0.164 0.109 0.116 0.027 0.116 0.138],
3,7,3.600000000000002,False,3096.580636351266,8,0.1,0.3,True,0.40721419221044347,0.15684006030138609,3,[0.152 0.122 0.103 0.086 0.027 0.083 0.096],
4,7,1.7000000000000004,True,1745.3281696491963,8,0.1,0.3,False,5.516285740647136,1.1423595262159398, 3,[0.056 0.031 0.08  0.084 0.047 0.042 0.034],
4,7,1.7000000000000004,True,1745.0221352995723,8,0.1,0.3,True,0.2860262784832979,0.043150541893214545,3,[0.049 0.031 0.064 0.093 0.054 0.043 0.036],
5,7,1.5000000000000002,True,1510.7297272100882,8,0.1,0.3,False,5.1439730623931,0.8295936943423982, 3,[0.034 0.038 0.073 0.08  0.09  0.029 0.094],
5,7,1.4000000000000001,True,1470.9581180104897,8,0.1,0.3,True,0.38815063811964545,0.16038031571436742,3,[0.034 0.053 0.085 0.067 0.093 0.034 0.091],
6,7,3.600000000000002,False,3115.0520883254308,8,0.1,0.3,False,6.06856609663939,1.3943581584311409, 3,[0.172 0.154 0.035 0.074 0.045 0.061 0.041],
6,7,3.600000000000002,False,3173.070936289518,8,0.1,0.3,True,0.36981952299515436,0.11306111682069837,3,[0.168 0.148 0.035 0.058 0.045 0.042 0.041],
7,7,1.7000000000000004,True,1773.8015835126628,8,0.1,0.3,False,6.956937564177411,1.841342337349377, 3,[0.019 0.024 0.029 0.072 0.092 0.069 0.041],
7,7,1.6000000000000003,True,1753.871577216396,8,0.1,0.3,True,0.3982377339728243,0.15761967863546109,3,[0.019 0.021 0.036 0.086 0.098 0.079 0.064],
8,7,1.2,False,inf,8,0.1,0.3,False,8.779864216693499,2.1495329464299275, 3,[0.226 0.134 0.246 0.176 0.203 0.174 0.212],
8,7,3.600000000000002,False,3577.3634329613465,8,0.1,0.3,True,0.525932410339241,0.22279602355797795,3,[0.117 0.055 0.115 0.052 0.252 0.19  0.109],
9,7,3.600000000000002,False,2993.183299250771,8,0.1,0.3,False,5.621654701673025,1.2637810253526365, 3,[0.038 0.19  0.054 0.146 0.089 0.141 0.03 ],
9,7,3.600000000000002,False,3238.747812466206,8,0.1,0.3,True,0.3436413230970391,0.12467077849272326,3,[0.038 0.165 0.043 0.097 0.092 0.096 0.03 ],
10,7,3.600000000000002,False,3081.114777055585,8,0.1,0.3,False,5.2082585731372495,0.9601083581089087, 3,[0.155 0.153 0.067 0.036 0.025 0.024 0.051],
10,7,3.600000000000002,False,3089.9697114717846,8,0.1,0.3,True,0.3691876357779764,0.12470112067206106,3,[0.112 0.107 0.045 0.031 0.025 0.024 0.054],
11,7,1.6000000000000003,True,1541.388885460252,8,0.1,0.3,False,5.392125102000136,0.9844381006834636, 3,[0.054 0.06  0.052 0.023 0.057 0.084 0.096],
11,7,1.5000000000000002,True,1492.1682043784742,8,0.1,0.3,True,0.4312942069134719,0.16547449683451257,3,[0.053 0.037 0.062 0.026 0.065 0.095 0.079],
12,7,3.600000000000002,False,3382.9797970202158,8,0.1,0.3,False,5.197307720028523,0.9817959742642701, 3,[0.168 0.121 0.066 0.128 0.163 0.094 0.172],
12,7,3.600000000000002,False,3535.8193222352593,8,0.1,0.3,True,0.39182997719289564,0.13849373530910658,3,[0.114 0.085 0.038 0.1   0.151 0.072 0.135],
13,7,3.600000000000002,False,2858.794988664318,8,0.1,0.3,False,5.790709790062262,1.0731274754814948, 3,[0.045 0.038 0.024 0.049 0.042 0.107 0.097],
13,7,2.0000000000000004,True,1808.424232441452,8,0.1,0.3,True,0.3734367985299157,0.09978106554532633,3,[0.053 0.052 0.028 0.034 0.058 0.098 0.078],
14,7,1.5000000000000002,True,1384.7931083039632,8,0.1,0.3,False,7.147813310256849,1.0266502953138545, 3,[0.023 0.076 0.098 0.076 0.04  0.034 0.016],
14,7,1.6000000000000003,True,1429.1748498088368,8,0.1,0.3,True,0.5052442320536231,0.16123322724555278,3,[0.018 0.063 0.091 0.035 0.022 0.035 0.024],
15,7,2.0000000000000004,False,inf,8,0.1,0.3,False,7.735534169567039,2.301663027012157, 3,[0.101 0.022 0.034 0.072 0.077 0.037 0.046],
15,7,1.8000000000000005,True,1770.2694430590773,8,0.1,0.3,True,0.9535270566347109,0.4082140966137379,3,[0.09  0.024 0.033 0.081 0.038 0.036 0.048],
16,7,3.600000000000002,False,3142.1572021205557,8,0.1,0.3,False,5.710738149361111,0.878633833940959, 3,[0.022 0.11  0.119 0.192 0.068 0.11  0.019],
16,7,3.600000000000002,False,3410.5994153442293,8,0.1,0.3,True,0.3590893908412692,0.1151253543886985,3,[0.022 0.08  0.115 0.163 0.032 0.085 0.043],
17,7,0,False,inf,8,0.1,0.3,False,11.810774880999986,0.0, 3,[1.151 0.587 1.175 1.511 0.555 1.795 0.724],
17,7,1.4000000000000001,True,1397.550036089881,8,0.1,0.3,True,0.3443402656224501,0.08355395546309809,3,[0.053 0.05  0.044 0.091 0.022 0.095 0.047],
18,7,0.1,False,inf,8,0.1,0.3,False,11.159153248999985,0.2739435070000127, 3,[0.79  0.514 1.243 0.543 1.219 1.077 1.363],
18,7,3.600000000000002,False,3063.8460324787284,8,0.1,0.3,True,0.4420429659127054,0.18326012739786077,3,[0.028 0.171 0.173 0.043 0.027 0.056 0.044],
19,7,1.6000000000000003,True,1540.7236656304765,8,0.1,0.3,False,5.88909496862501,1.720278125392881, 3,[0.047 0.046 0.082 0.057 0.091 0.032 0.079],
19,7,1.5000000000000002,True,1504.3604795777865,8,0.1,0.3,True,0.4140213801238046,0.1576882968334045,3,[0.043 0.053 0.088 0.066 0.063 0.053 0.082],
20,7,1.8000000000000005,True,1774.1567201704338,8,0.1,0.3,False,6.053112904277763,1.5905448328843994, 3,[0.048 0.033 0.089 0.074 0.084 0.088 0.051],
20,7,1.7000000000000004,True,1846.560768638607,8,0.1,0.3,True,0.4524566148991552,0.1616904175484265,3,[0.057 0.049 0.084 0.059 0.066 0.088 0.062],
21,7,3.600000000000002,False,2898.85095948001,8,0.1,0.3,False,5.632426633305562,1.2176536700012262, 3,[0.036 0.102 0.035 0.03  0.028 0.04  0.059],
21,7,1.5000000000000002,True,1709.2702678447295,8,0.1,0.3,True,0.4728845789238156,0.17606781535100038,3,[0.066 0.076 0.037 0.043 0.084 0.039 0.086],
22,7,0.4,False,inf,8,0.1,0.3,False,9.647655409599974,2.6448276261747825, 3,[0.516 0.932 0.435 0.411 0.832 1.004 0.938],
22,7,1.2,True,1493.068828421068,8,0.1,0.3,True,0.47571517495237825,0.1747042919043087,3,[0.067 0.095 0.079 0.076 0.095 0.091 0.09 ],
23,7,3.600000000000002,False,3120.057478144845,8,0.1,0.3,False,5.332997180194443,0.7877935553359634, 3,[0.12  0.099 0.022 0.202 0.03  0.067 0.13 ],
23,7,3.600000000000002,False,3327.1040710885354,8,0.1,0.3,True,0.371425853277771,0.13123546175070003,3,[0.098 0.094 0.022 0.159 0.018 0.051 0.081],
24,7,1.7000000000000004,True,1587.093406922321,8,0.1,0.3,False,5.57571511870591,1.1312420802062118, 3,[0.044 0.039 0.074 0.042 0.037 0.047 0.097],
24,7,1.7000000000000004,True,1596.40039144387,8,0.1,0.3,True,0.3038006131848703,0.07277619721957052,3,[0.043 0.05  0.07  0.042 0.037 0.047 0.098],
25,7,3.600000000000002,False,3145.576518228316,8,0.1,0.3,False,5.199315679083333,1.1747344274246594, 3,[0.04  0.05  0.041 0.164 0.152 0.055 0.179],
25,7,3.600000000000002,False,3170.1665536707205,8,0.1,0.3,True,0.35284070752779173,0.12722532949113577,3,[0.042 0.05  0.039 0.101 0.121 0.055 0.136],
26,7,3.600000000000002,False,2923.562793606479,8,0.1,0.3,False,5.013145294277757,0.9149658047784803, 3,[0.031 0.041 0.044 0.059 0.027 0.188 0.191],
26,7,3.600000000000002,False,2995.245850432332,8,0.1,0.3,True,0.3095016842897001,0.09453252337038032,3,[0.022 0.041 0.044 0.048 0.035 0.184 0.197],
27,7,3.600000000000002,False,2713.645178352141,8,0.1,0.3,False,4.674405220750032,0.37864839013902934, 3,[0.017 0.122 0.049 0.131 0.104 0.071 0.036],
27,7,1.4000000000000001,True,1292.0826600033572,8,0.1,0.3,True,0.41410919369387306,0.16547838736808235,3,[0.048 0.05  0.094 0.066 0.086 0.087 0.035],
28,7,3.600000000000002,False,2801.88171283847,8,0.1,0.3,False,4.603941326666662,0.6030563204453865, 3,[0.039 0.059 0.079 0.078 0.042 0.087 0.12 ],
28,7,1.9000000000000006,True,1831.384677929615,8,0.1,0.3,True,0.4271117019774451,0.15360165755867813,3,[0.052 0.071 0.086 0.094 0.052 0.09  0.083],
29,7,1.6000000000000003,True,1732.3971885316728,8,0.1,0.3,False,5.243731552437453,1.0702436901301298, 3,[0.045 0.089 0.061 0.053 0.096 0.035 0.074],
29,7,1.6000000000000003,True,1707.2791447005131,8,0.1,0.3,True,0.3378422066339185,0.09069293175820821,3,[0.053 0.072 0.056 0.036 0.095 0.037 0.054],
30,7,1.6000000000000003,True,1517.7541249443361,8,0.1,0.3,False,5.181318579625014,0.9673515306969197, 3,[0.096 0.022 0.039 0.095 0.049 0.067 0.061],
30,7,1.7000000000000004,True,1564.6579956162932,8,0.1,0.3,True,0.33988295275630964,0.09776055197812876,3,[0.089 0.029 0.04  0.082 0.054 0.048 0.032],
31,7,3.600000000000002,False,3067.8268120931384,8,0.1,0.3,False,5.738314855361056,0.9095179925727506, 3,[0.043 0.028 0.091 0.055 0.123 0.091 0.088],
31,7,2.1000000000000005,True,2061.4501357969675,8,0.1,0.3,True,0.38560871023129667,0.12363039686456835,3,[0.034 0.037 0.058 0.037 0.098 0.052 0.063],
32,7,3.600000000000002,False,3074.106167700616,8,0.1,0.3,False,4.940973910222232,0.4116655181728757, 3,[0.086 0.167 0.052 0.175 0.059 0.032 0.13 ],
32,7,3.600000000000002,False,3173.679919038994,8,0.1,0.3,True,0.33143099714286134,0.09979164303593234,3,[0.077 0.162 0.037 0.181 0.048 0.032 0.114],
33,7,1.7000000000000004,True,1480.7936916369574,8,0.1,0.3,False,4.793507516764695,0.7653263934717012, 3,[0.053 0.05  0.09  0.048 0.031 0.035 0.041],
33,7,1.6000000000000003,True,1450.9214708267032,8,0.1,0.3,True,0.2969666391428315,0.07418533055779966,3,[0.034 0.054 0.1   0.057 0.043 0.045 0.045],
34,7,3.600000000000002,False,2914.8567962749567,8,0.1,0.3,False,4.8453848887221636,0.5868183987612401, 3,[0.11  0.031 0.04  0.027 0.135 0.031 0.187],
34,7,3.600000000000002,False,3134.134547831366,8,0.1,0.3,True,0.3339964743769532,0.11558022906102705,3,[0.073 0.031 0.04  0.034 0.089 0.031 0.162],
35,7,1.6000000000000003,True,1375.6502719223527,8,0.1,0.3,False,4.733411504062474,0.6377780557734295, 3,[0.089 0.038 0.022 0.059 0.026 0.039 0.016],
35,7,1.6000000000000003,True,1381.0128832982202,8,0.1,0.3,True,0.27693589383035744,0.05310897608537734,3,[0.089 0.038 0.02  0.063 0.031 0.039 0.016],
36,7,1.5000000000000002,True,1482.5465817974248,8,0.1,0.3,False,4.7841657458666305,0.7007235445737314, 3,[0.099 0.091 0.075 0.071 0.043 0.096 0.07 ],
36,7,1.5000000000000002,True,1493.1577352246861,8,0.1,0.3,True,0.33091013939051445,0.09208081106581326,3,[0.098 0.072 0.06  0.088 0.044 0.096 0.072],
37,7,3.600000000000002,False,3052.963961469918,8,0.1,0.3,False,5.094607493111072,0.7562367573786761, 3,[0.041 0.118 0.112 0.171 0.076 0.185 0.077],
37,7,3.600000000000002,False,3216.071029450239,8,0.1,0.3,True,0.35429856542062893,0.11941550183135388,3,[0.038 0.091 0.078 0.124 0.062 0.129 0.06 ],
38,7,2.1000000000000005,True,2055.007197961566,8,0.1,0.3,False,5.288167692428552,1.2392474173329284, 3,[0.032 0.044 0.079 0.1   0.056 0.028 0.038],
38,7,1.8000000000000005,True,2032.9482958838673,8,0.1,0.3,True,0.4819814195158421,0.19171370552698477,3,[0.04  0.054 0.094 0.091 0.021 0.033 0.02 ],
39,7,3.600000000000002,False,3131.355577529347,8,0.1,0.3,False,4.712468716277676,0.7199816417015701, 3,[0.025 0.036 0.044 0.222 0.029 0.138 0.222],
39,7,3.600000000000002,False,3246.5938713585056,8,0.1,0.3,True,0.3614037562341122,0.13916941832857707,3,[0.025 0.036 0.021 0.205 0.029 0.026 0.193],
40,7,3.600000000000002,False,3146.5764262305115,8,0.1,0.3,False,4.978410116027716,0.7596092342311299, 3,[0.061 0.133 0.131 0.177 0.119 0.145 0.056],
40,7,3.600000000000002,False,3242.8179267958885,8,0.1,0.3,True,0.3773284541031704,0.12905828044956136,3,[0.053 0.139 0.129 0.177 0.087 0.07  0.051],
41,7,3.600000000000002,False,3447.654848718753,8,0.1,0.3,False,5.188400850388916,0.8453168644786717, 3,[0.12  0.196 0.122 0.032 0.16  0.12  0.155],
41,7,3.600000000000002,False,3680.295604162087,8,0.1,0.3,True,0.35338628423809965,0.11888663037326855,3,[0.094 0.172 0.092 0.032 0.131 0.089 0.127],
42,7,1.9000000000000006,True,1788.444165595718,8,0.1,0.3,False,5.147390723999898,1.0384567195350085, 3,[0.029 0.017 0.094 0.041 0.066 0.049 0.032],
42,7,1.8000000000000005,True,1801.4796771159167,8,0.1,0.3,True,0.3364133651428722,0.11142164306746762,3,[0.019 0.018 0.094 0.046 0.072 0.057 0.019],
43,7,2.1000000000000005,True,1792.5658141359568,8,0.1,0.3,False,4.8747673522857005,0.9109273201819171, 3,[0.09  0.034 0.097 0.028 0.039 0.026 0.034],
43,7,1.4000000000000001,True,1411.3648844652678,8,0.1,0.3,True,0.3973326818672738,0.14907133596173833,3,[0.025 0.061 0.087 0.061 0.031 0.055 0.089],
44,7,1.7000000000000004,True,1948.6774417884428,8,0.1,0.3,False,5.354164386999935,1.0495188614806552, 3,[0.083 0.084 0.061 0.086 0.033 0.071 0.053],
44,7,1.7000000000000004,True,1933.8262276602786,8,0.1,0.3,True,0.3281792129831911,0.09777017457033749,3,[0.073 0.091 0.053 0.075 0.033 0.067 0.049],
45,7,3.600000000000002,False,2987.521389821581,8,0.1,0.3,False,4.883495519861071,0.5880527399291563, 3,[0.167 0.155 0.045 0.141 0.039 0.134 0.038],
45,7,3.600000000000002,False,3000.6240680494784,8,0.1,0.3,True,0.3387783610317506,0.10778411006531266,3,[0.123 0.101 0.031 0.111 0.019 0.086 0.038],
46,7,3.600000000000002,False,2978.211034281658,8,0.1,0.3,False,4.574885187916657,0.577827713912456, 3,[0.19  0.029 0.155 0.029 0.161 0.037 0.033],
46,7,3.600000000000002,False,3009.852081956614,8,0.1,0.3,True,0.32632668559129,0.12082888102411998,3,[0.176 0.038 0.121 0.029 0.104 0.028 0.033],
47,7,3.600000000000002,False,3211.7636333643595,8,0.1,0.3,False,4.830929391166769,0.5629996378761816, 3,[0.196 0.106 0.18  0.088 0.109 0.034 0.146],
47,7,3.600000000000002,False,3419.2920476594454,8,0.1,0.3,True,0.36563956752780863,0.1290761848492183,3,[0.162 0.075 0.158 0.095 0.049 0.032 0.114],
48,7,3.600000000000002,False,2853.673610603306,8,0.1,0.3,False,5.175302759388842,0.8910790781908433, 3,[0.033 0.024 0.026 0.056 0.064 0.099 0.101],
48,7,1.6000000000000003,True,1576.8131925410441,8,0.1,0.3,True,0.3451287796696404,0.10262648612601326,3,[0.048 0.031 0.068 0.041 0.076 0.082 0.087],
49,7,1.5000000000000002,True,1517.8047762743554,8,0.1,0.3,False,6.166970561400012,1.2902262162499525, 3,[0.097 0.093 0.069 0.08  0.021 0.024 0.083],
49,7,1.5000000000000002,True,1503.3415027821138,8,0.1,0.3,True,0.32342199516184506,0.07105106155305166,3,[0.097 0.093 0.056 0.066 0.026 0.025 0.083],

